ground_truth,PIPLUP_no_merge,PIPLUP,count
ASL Sender Statistics,ASL Sender Statistics,ASL Sender Statistics,643
button report: <*>,button report: <*>,button report: <*>,633
<*>::<*>::<*> bssid changed,en0::IO80211Interface::postMessage bssid changed,en0::IO80211Interface::postMessage bssid changed,600
[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),572
"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)","IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)","IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",535
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,535
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,535
-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*> confidence=<*> from=(<*>)/(<*>) (<*> #<*>),-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*> +<*> confidence=<*> from=(null)/(null) (UABestAppSuggestionManager.m #<*>),-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*> +<*> confidence=<*> from=(null)/(null) (UABestAppSuggestionManager.m #<*>),533
TBT W (<*>): <*> [<*>],TBT W (<*>): <*> [x],TBT W (<*>): <*> [x],532
AirPort: Link Down on <*> Reason <*> (Unspecified).,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,532
AirPort: Link Up on <*>,AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,532
USBMSC Identifier (non-unique): <*>,USBMSC Identifier (non-unique): <*> <*>,USBMSC Identifier (non-unique): <*> <*>,532
Previous sleep cause: <*>,Previous sleep cause: <*>,Previous sleep cause: <*>,532
ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,532
Bluetooth -- LE is supported - Disable LE meta event,Bluetooth -- LE is supported - Disable LE meta event,Bluetooth -- LE is supported - Disable LE meta event,532
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,532
AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,532
ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],532
ARPT: <*>: <*>: leaveModulePoweredForOffloads: Wi-Fi will stay on.,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,531
ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>],ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],531
ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],531
jemmytest,jemmytest,jemmytest,526
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,521
<*>[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,503
-[NETClientConnection <*>] <*> - Perform <*>! <*>,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>,483
"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: <*> 'ExternalConnected': <*> 'TimeRemaining': <*>,",0,0,475
CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,472
CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,472
<*>[NETClientConnection evaluateCrazyIvan46]_block_invoke <*> - Hit by torpedo! <*>,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*>,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*>,449
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> <*>"" UserInfo={NSDescription=<*>}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*> identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*> identity not set}",446
<*>: Supported channels <*>,en0: Supported channels <*>,en0: Supported channels <*>,445
ARPT: <*>: <*>: setup_keepalive: Local port: <*> Remote port: <*>,ARPT: <*>: wl0: setup_keepalive: Local port: <*> Remote port: <*>,ARPT: <*>: wl0: setup_keepalive: Local port: <*> Remote port: <*>,445
ARPT: <*>: <*>: setup_keepalive: interval <*> retry_interval <*> retry_count <*>,ARPT: <*>: wl0: setup_keepalive: interval <*> retry_interval <*> retry_count <*>,ARPT: <*>: wl0: setup_keepalive: interval <*> retry_interval <*> retry_count <*>,445
ARPT: <*>: <*>: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,ARPT: <*>: wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,ARPT: <*>: wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,445
ARPT: <*>: <*>: setup_keepalive: Local IP: <*>,ARPT: <*>: wl0: setup_keepalive: Local IP: <*>,ARPT: <*>: wl0: setup_keepalive: Local IP: <*>,445
"ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",445
ARPT: <*>: <*>: MDNS: <*> Addr: <*>,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,445
ARPT: <*>: <*>: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,442
ARPT: <*>: <*>: wl_update_tcpkeep_seq: Updated <*> from UserClient Seq <*> Ack <*> Win size <*>,ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated <*> from UserClient Seq <*> Ack <*> Win size <*>,ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated <*> from UserClient Seq <*> Ack <*> Win size <*>,440
doSaveChannels@<*>: Will write to: <*> - <*>,doSaveChannels@<*>: Will write to: <*>] - AssocFail:sts:5_rsn:<*>,doSaveChannels@<*>: Will write to: <*>] - AssocFail:sts:5_rsn:<*>,419
ARPT: <*>: wlc_dump_aggfifo:,ARPT: <*>: wlc_dump_aggfifo:,ARPT: <*>: wlc_dump_aggfifo:,418
ARPT: <*>: AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>,ARPT: <*>: AQM agg params <*> maxlen <*> minlen <*> adjlen <*>,ARPT: <*>: AQM agg params <*> maxlen <*> minlen <*> adjlen <*>,418
ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,418
ARPT: <*>: AQM agg results <*> len hi/lo: <*> BAbitmap(<*>) <*>,ARPT: <*>: AQM agg results <*> len <*>: <*> BAbitmap(<*>) <*>,ARPT: <*>: AQM agg results <*> len <*>: <*> BAbitmap(<*>) <*>,418
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,414
"Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>","Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>","Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>",388
Saw change in network reachability (isReachable=<*>),Saw change in network reachability (isReachable=<*>),Saw change in network reachability (isReachable=<*>),362
"setting hostname to ""<*>""","setting hostname to ""<*>""","setting hostname to ""<*>""",356
-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),355
Unrecognized attribute value: <*>,Unrecognized attribute value: t:AbchPersonItemType,Unrecognized attribute value: t:AbchPersonItemType,355
############################## _getSysMsgList,############################## _getSysMsgList,############################## _getSysMsgList,343
<*> : BTLE scanner Powered <*>,<*> : BTLE scanner Powered On,<*> : BTLE scanner Powered On,323
Wake reason: <*>,Wake reason: <*> (<*>),Wake reason: <*> (<*>),319
mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),318
Unable to simultaneously satisfy constraints:,Unable to simultaneously satisfy constraints:,Unable to simultaneously satisfy constraints:,273
tcp_connection_tls_session_error_callback_imp <*> error <*>,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,270
[<*>] [Refusing to parse response to PROPPATCH because of content-type: [<*>; charset=<*>].],[<*>] [Refusing to parse response to PROPPATCH because of content-type: [<*>; charset=<*>].],[<*>] [Refusing to parse response to PROPPATCH because of content-type: [<*>; charset=<*>].],265
ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,262
Unexpected payload found for message <*> dataLen <*>,Unexpected payload found for message <*> dataLen <*>,Unexpected payload found for message <*> dataLen <*>,255
RTC: PowerByCalendarDate setting ignored,RTC: PowerByCalendarDate setting ignored,RTC: PowerByCalendarDate setting ignored,252
RTC: Maintenance <*> sleep <*>,RTC: Maintenance <*> sleep <*>,RTC: Maintenance <*> sleep <*>,251
<*> | I | VoipWrapper | DAVEngineImpl.cpp:<*>:Close | close video chat. llFriendUIN = <*>,<*> | I | VoipWrapper | DAVEngineImpl.cpp:<*>:Close | close video chat. llFriendUIN = <*>.,<*> | I | VoipWrapper | DAVEngineImpl.cpp:<*>:Close | close video chat. llFriendUIN = <*>.,247
SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> <*> (paramErr: error in user parameter list) UserInfo={NSDescription=<*>},"SecOSStatusWith error:[-<*>] Error Domain=<*> Code=-<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=<*> missing class name}","SecOSStatusWith error:[-<*>] Error Domain=<*> Code=-<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=<*> missing class name}",244
"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=<*> Code=<*> <*>"" (paramErr: error in user parameter list) UserInfo={NSDescription=<*>}","securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=<*> Code=-<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=<*> missing class name}","securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=<*> Code=-<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=<*> missing class name}",244
AirPort: Link Up on <*>,AirPort: Link Up on en0,AirPort: Link Up on en0,225
<*>: <*> country code set to <*>,en0: <*> country code set to 'X3'.,en0: <*> country code set to 'X3'.,224
<*>: <*> country code set to <*>,en0: <*> country code set to 'US'.,en0: <*> country code set to 'US'.,224
[<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.,[<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.,[<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.,222
Configuration Notice:,Configuration Notice:,Configuration Notice:,216
AirPort: Link Down on <*> Reason <*> (Disassociated because station leaving).,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,216
[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: <*> Byte flume reports host available again.,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,212
tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is down,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is down,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is down,210
network changed: <*> DNS! Proxy SMB,0,0,208
sigio_handler: sigio_handler_active != <*>,sigio_handler: sigio_handler_active != <*>,sigio_handler: sigio_handler_active != <*>,206
<*> : BTLE scanner Powered <*>,<*> : BTLE scanner Powered Off,<*> : BTLE scanner Powered Off,205
<*> : Scanning mode <*>,<*> : Scanning mode Contacts Only,<*> : Scanning mode Contacts Only,201
Wake reason: <*>,Wake reason: ?,Wake reason: ?,198
mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),185
[<*>(<*>)] Failed to read DnsConfig.,[<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,[<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,185
Captive: CNPluginHandler <*>: Inactive,Captive: CNPluginHandler en0: Inactive,Captive: CNPluginHandler en0: Inactive,181
network changed: DNS* <*>,network changed: DNS* Proxy,network changed: DNS* Proxy,180
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network is not reachable, netbiosd is shutting down",179
network changed: <*> DNS+ Proxy+ SMB,network changed: <*>) <*> Proxy+ SMB,network changed: <*>) <*> Proxy+ SMB,179
Captive: [CNInfoNetworkActive:<*>] <*>: SSID <*> making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),177
Captive: <*>: Not probing <*> (cache indicates not captive),Captive: en0: Not probing 'CalVisitor' (cache indicates not captive),Captive: en0: Not probing 'CalVisitor' (cache indicates not captive),177
[<*>] itemasync_SetProperty signalled err=<*> (<*>) (invalidated) at <*> line <*>,[<*>] itemasync_SetProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,[<*>] itemasync_SetProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,175
[<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: <*> rejecting report of layer being serviced - IQ has not yet begun to update,[<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update,[<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update,167
"CCLogTap::profileRemoved, Owner: <*> Name: <*>","CCLogTap::profileRemoved, Owner: <*> Name: <*>","CCLogTap::profileRemoved, Owner: <*> Name: <*>",165
<*>: BSSID changed to <*>,en0: BSSID changed to 5c:<*>:bc:<*>,en0: BSSID changed to 5c:<*>:bc:<*>,162
network changed: <*> DNS- Proxy-,network changed: v6(en0-:<*>) DNS- Proxy-,network changed: v6(en0-:<*>) DNS- Proxy-,157
network changed: <*> DNS! Proxy SMB,network changed: v4(en0-:<*>) v6(<*>) DNS! Proxy SMB,network changed: v4(en0-:<*>) v6(<*>) DNS! Proxy SMB,156
ASSERTION FAILED: dvcAddrRef != <*> -[DriverServices getDeviceAddress:] line: <*>,ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>,ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>,151
"ARPT: <*>: <*>: Roamed or switched channel, reason #<*>, bssid <*> last RSSI <*>","ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid 5c:<*>:4c:<*>, last RSSI -<*>","ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid 5c:<*>:4c:<*>, last RSSI -<*>",150
"Google Chrome <*> triggered unnest of range <*> of DYLD shared region in VM map <*> While not abnormal for debuggers, this increases system memory footprint until the target exits.","Google Chrome He[<*>] triggered unnest of range <*> of DYLD shared region in VM map <*> While not abnormal for debuggers, this increases system memory footprint until the target exits.","Google Chrome He[<*>] triggered unnest of range <*> of DYLD shared region in VM map <*> While not abnormal for debuggers, this increases system memory footprint until the target exits.",149
ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,148
Peripheral manager is not powered on,Peripheral manager is not powered on,Peripheral manager is not powered on,147
