ground_truth,PIPLUP_no_merge,PIPLUP,count
audit(<*>): avc: denied <*> for pid=<*> exe=<*> name=<*> dev=<*> ino=<*> scontext=<*> tcontext=<*> tclass=<*>,audit(<*>): avc: denied { <*> } for pid=<*> exe=<*> scontext=<*>:system_r:kernel_t <*>,audit(<*>): avc: denied { <*> } for pid=<*> exe=<*> scontext=<*>:system_r:kernel_t <*>,52
[<*>] put_user_size+<*>,[<*>] put_user_size+<*>,[<*>] put_user_size+<*>,49
NET: Registered protocol family <*>,NET: Registered protocol family <*>,NET: Registered protocol family <*>,48
no longer listening on <*>,no longer listening on <*>,no longer listening on <*>,48
[<*>] read_swap_cache_async+<*>,[<*>] read_swap_cache_async+<*>,[<*>] read_swap_cache_async+<*>,44
getpeername (ftpd): Transport endpoint is not connected,getpeername (ftpd): Transport endpoint is not connected,getpeername (ftpd): Transport endpoint is not connected,43
restart.,restart.,restart.,42
[<*>] do_swap_page+<*>,[<*>] do_swap_page+<*>,[<*>] do_swap_page+<*>,41
User <*> timed out after <*> seconds at <*>,User unknown timed out after <*> seconds at <*>,User unknown timed out after <*> seconds at <*>,36
usbcore: registered new driver <*>,usbcore: registered new driver <*>,usbcore: registered new driver <*>,32
[<*>] filemap_nopage+<*>,[<*>] filemap_nopage+<*>,[<*>] filemap_nopage+<*>,30
[<*>] do_no_page+<*>,[<*>] do_no_page+<*>,[<*>] do_no_page+<*>,30
VM: killing process <*>,VM: killing process httpd,VM: killing process httpd,26
Kerberos authentication failed,Kerberos authentication failed,Kerberos authentication failed,25
PCI: Found IRQ <*> for device <*>,PCI: Found IRQ <*> for device <*>:1f.<*>,PCI: Found IRQ <*> for device <*>:1f.<*>,24
Bluetooth: <*> ver <*>,Bluetooth: <*> ver <*>,Bluetooth: <*> ver <*>,24
BIOS-e820: <*> - <*> (reserved),BIOS-<*>: <*> - <*> (reserved),BIOS-<*>: <*> - <*> (reserved),24
[<*>] do_page_cache_readahead+<*>,[<*>] do_page_cache_readahead+<*>,[<*>] do_page_cache_readahead+<*>,23
[<*>] swapin_readahead+<*>,[<*>] swapin_readahead+<*>,[<*>] swapin_readahead+<*>,23
connection from <*> (<*>) at <*>,connection from <*> (<*>.maximumasp.com) at <*>,connection from <*> (<*>) at <*>,23
connection from <*> (<*>) at <*>,connection from <*> (dsl-Chn-static-<*>.touchtelindia.net) at <*>,connection from <*> (<*>) at <*>,23
[<*>] recalc_task_prio+<*>,[<*>] recalc_task_prio+<*>,[<*>] recalc_task_prio+<*>,20
[<*>] follow_page+<*>,[<*>] follow_page+<*>,[<*>] follow_page+<*>,19
warning: can't get client address: Connection reset by peer,warning: can't get client address: Connection reset by peer,warning: can't get client address: Connection reset by peer,18
Authentication failed from <*> (<*>): Software caused connection abort,Authentication failed from <*> (<*>): Software caused connection abort,Authentication failed from <*> (<*>): Software caused connection abort,17
ip_tables: (C) <*> Netfilter core team,ip_tables: (C) <*> Netfilter core team,ip_tables: (C) <*> Netfilter core team,17
succeeded,succeeded,succeeded,16
<*>: Donald Becker and others. <*>,3c59x: Donald Becker and others. <*>,3c59x: Donald Becker and others. <*>,16
EXT3-fs: mounted filesystem with ordered data mode.,EXT3-fs: mounted filesystem with ordered data mode.,EXT3-fs: mounted filesystem with ordered data mode.,16
kjournald starting. Commit interval <*> seconds,kjournald starting. Commit interval <*> seconds,kjournald starting. Commit interval <*> seconds,16
parport0: irq <*> detected,parport0: irq <*> detected,parport0: irq <*> detected,16
parport0: PC-style at <*> (<*>) [<*>],"parport0: PC-style at <*> (<*>) [PCSPP,TRISTATE,EPP]","parport0: PC-style at <*> (<*>) [PCSPP,TRISTATE,EPP]",16
[<*>] vt_console_print+<*>,[<*>] vt_console_print+<*>,[<*>] vt_console_print+<*>,16
[<*>] rw_vm+<*>,[<*>] rw_vm+<*>,[<*>] rw_vm+<*>,16
couldn't add command channel <*> not found,couldn't add command channel <*>: not found,couldn't add command channel <*>: not found,16
notify question section contains no SOA,notify question section contains no SOA,notify question section contains no SOA,16
BIOS-e820: <*> - <*> (usable),BIOS-<*>: <*> - <*> (usable),BIOS-<*>: <*> - <*> (usable),16
<*> shutdown failed,<*> shutdown failed,<*> shutdown failed,15
[<*>] generic_file_aio_write_nolock+<*>,[<*>] generic_file_aio_write_nolock+<*>,[<*>] generic_file_aio_write_nolock+<*>,15
[<*>] generic_file_aio_write+<*>,[<*>] generic_file_aio_write+<*>,[<*>] generic_file_aio_write+<*>,15
imps2: Auto-detected intellimouse PS/2,imps2: Auto-detected intellimouse <*>,imps2: Auto-detected intellimouse <*>,15
[<*>] acct_process+<*>,[<*>] acct_process+<*>,[<*>] acct_process+<*>,15
[<*>] ext3_file_write+<*>,[<*>] ext3_file_write+<*> [ext3],[<*>] ext3_file_write+<*> [ext3],15
[<*>] __print_symbol+<*>,[<*>] __print_symbol+<*>,[<*>] __print_symbol+<*>,15
*** info [mice.c(<*>)]:,*** info [startup.c(<*>)]:,*** info [startup.c(<*>)]:,15
[<*>] do_acct_process+<*>,[<*>] do_acct_process+<*>,[<*>] do_acct_process+<*>,15
[<*>] do_exit+<*>,[<*>] do_exit+<*>,[<*>] do_exit+<*>,15
[<*>] do_sync_write+<*>,[<*>] do_sync_write+<*>,[<*>] do_sync_write+<*>,15
[<*>] journal_start+<*>,[<*>] journal_start+<*> [jbd],[<*>] journal_start+<*> [jbd],14
[<*>] __mark_inode_dirty+<*>,[<*>] __mark_inode_dirty+<*>,[<*>] __mark_inode_dirty+<*>,14
[<*>] __getblk_slow+<*>,[<*>] __getblk_slow+<*>,[<*>] __getblk_slow+<*>,14
[<*>] ext3_reserve_inode_write+<*>,[<*>] ext3_reserve_inode_write+<*> [ext3],[<*>] ext3_reserve_inode_write+<*> [ext3],14
[<*>] find_or_create_page+<*>,[<*>] find_or_create_page+<*>,[<*>] find_or_create_page+<*>,14
[<*>] ext3_dirty_inode+<*>,[<*>] ext3_dirty_inode+<*> [ext3],[<*>] ext3_dirty_inode+<*> [ext3],14
[<*>] grow_dev_page+<*>,[<*>] grow_dev_page+<*>,[<*>] grow_dev_page+<*>,14
[<*>] __getblk+<*>,[<*>] __getblk+<*>,[<*>] __getblk+<*>,14
[<*>] ext3_get_inode_loc+<*>,[<*>] ext3_get_inode_loc+<*> [ext3],[<*>] ext3_get_inode_loc+<*> [ext3],14
[<*>] ext3_mark_inode_dirty+<*>,[<*>] ext3_mark_inode_dirty+<*> [ext3],[<*>] ext3_mark_inode_dirty+<*> [ext3],14
[<*>] inode_update_time+<*>,[<*>] inode_update_time+<*>,[<*>] inode_update_time+<*>,14
[<*>] dump_stack+<*>,[<*>] dump_stack+<*>,[<*>] dump_stack+<*>,13
[<*>] do_IRQ+<*>,[<*>] do_IRQ+<*>,[<*>] do_IRQ+<*>,13
[<*>] printk+<*>,[<*>] printk+<*>,[<*>] printk+<*>,11
bad username [<*>],bad username [<*>],bad username [<*>],11
[<*>] mempool_alloc+<*>,[<*>] mempool_alloc+<*>,[<*>] mempool_alloc+<*>,11
"SELinux: initialized (dev , type <*>), uses <*>","SELinux: initialized (dev , type <*>), uses genfs_contexts","SELinux: initialized (dev , type <*>), uses genfs_contexts",11
[<*>] show_trace+<*>,[<*>] show_trace+<*>,[<*>] show_trace+<*>,11
service(<*>) ignoring max retries; <*> > <*>,service(sshd) ignoring max retries; <*> > <*>,service(sshd) ignoring max retries; <*> > <*>,11
"sendmail: page allocation failure. order:<*>, mode:<*>","sendmail: page allocation failure. order:<*>, mode:<*>","sendmail: page allocation failure. order:<*>, mode:<*>",11
ttloop: read: Connection reset by peer,ttloop: read: Connection reset by peer,ttloop: read: Connection reset by peer,10
[<*>] page_cache_read+<*>,[<*>] page_cache_read+<*>,[<*>] page_cache_read+<*>,10
[<*>] __wake_up+<*>,[<*>] __wake_up+<*>,[<*>] __wake_up+<*>,10
Couldn't authenticate user,Couldn't authenticate user,Couldn't authenticate user,10
[<*>] do_wp_page+<*>,[<*>] do_wp_page+<*>,[<*>] do_wp_page+<*>,10
Starting MySQL: succeeded,Starting <*>: succeeded,Starting <*>: succeeded,9
klogd <*> log source = <*> started.,klogd <*> log source = <*> started.,klogd <*> log source = <*> started.,9
[<*>] __wake_up_common+<*>,[<*>] __wake_up_common+<*>,[<*>] __wake_up_common+<*>,9
agpgart: Detected an <*> Chipset.,agpgart: Detected an Intel i810 E Chipset.,agpgart: Detected an Intel i810 E Chipset.,8
You can enable it with <*>,You can enable it with acpi=<*>,You can enable it with acpi=<*>,8
Version <*> Starting,Version <*> Starting,Version <*> Starting,8
Version <*> (APM BIOS <*> Linux driver <*>),Version <*> (APM BIOS <*> Linux driver <*>),Version <*> (APM BIOS <*> Linux driver <*>),8
agpgart: AGP aperture is <*> @ <*>,agpgart: AGP aperture is <*> @ <*>,agpgart: AGP aperture is <*> @ <*>,8
VFS: Mounted root (ext2 filesystem).,VFS: Mounted root (ext2 filesystem).,VFS: Mounted root (ext2 filesystem).,8
file descriptor of service comsat has been closed,file descriptor of service comsat has been closed,file descriptor of service comsat has been closed,8
agpgart: Maximum main memory to use for agp memory: <*>,agpgart: Maximum main memory to use for agp memory: <*>,agpgart: Maximum main memory to use for agp memory: <*>,8
mapped <*> trampoline to <*>.,mapped <*> trampoline to <*>.,mapped <*> trampoline to <*>.,8
md: autorun ...,md: autorun ...,md: autorun ...,8
"md: md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>","md: md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>","md: md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>",8
mice: <*> mouse device common for all mice,mice: <*> mouse device common for all mice,mice: <*> mouse device common for all mice,8
microcode: CPU0 already at revision <*> (current=<*>),microcode: CPU0 already at revision <*> (current=<*>),microcode: CPU0 already at revision <*> (current=<*>),8
microcode: No suitable data for cpu <*>,microcode: No suitable data for cpu <*>,microcode: No suitable data for cpu <*>,8
pci_hotplug: PCI Hot Plug PCI Core version: <*>,pci_hotplug: PCI Hot Plug PCI Core version: <*>,pci_hotplug: PCI Hot Plug PCI Core version: <*>,8
precision = <*> usec,precision = <*> usec,precision = <*> usec,8
process <*> is using obsolete setsockopt SO_BSDCOMPAT,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,8
"rsyncd version <*> starting, listening on port <*>","rsyncd version <*> starting, listening on port <*>","rsyncd version <*> starting, listening on port <*>",8
running,running,running,8
select reported EBADF but no bad file descriptors were found,select reported <*> but no bad file descriptors were found,select reported <*> but no bad file descriptors were found,8
selinux_register_security: Registering secondary module capability,selinux_register_security: Registering secondary module capability,selinux_register_security: Registering secondary module capability,8
serio: i8042 AUX port at <*> irq <*>,serio: i8042 AUX port at <*> irq <*>,serio: i8042 AUX port at <*> irq <*>,8
serio: i8042 KBD port at <*> irq <*>,serio: i8042 KBD port at <*> irq <*>,serio: i8042 KBD port at <*> irq <*>,8
smartd has fork()ed into background mode. New PID=<*>.,smartd has fork()ed into background mode. New PID=<*>.,smartd has fork()ed into background mode. New PID=<*>.,8
started.,started.,started.,8
starting BIND <*> -u <*> -t <*>,starting BIND <*> -u named -t <*>,starting BIND <*> -u named -t <*>,8
"synchronized to LOCAL(<*>), stratum=<*>","synchronized to LOCAL(<*>), stratum=<*>","synchronized to LOCAL(<*>), stratum=<*>",8
uhci_hcd <*>: UHCI Host Controller,uhci_hcd <*>:1f.<*>: UHCI Host Controller,uhci_hcd <*>:1f.<*>: UHCI Host Controller,8
uhci_hcd <*>: irq <*> io base <*>,uhci_hcd <*>:1f.<*>: irq <*> io base <*>,uhci_hcd <*>:1f.<*>: irq <*> io base <*>,8
"uhci_hcd <*>: new USB bus registered, assigned bus number <*>","uhci_hcd <*>:1f.<*>: new USB bus registered, assigned bus number <*>","uhci_hcd <*>:1f.<*>: new USB bus registered, assigned bus number <*>",8
using <*> CPU,using <*> CPU,using <*> CPU,8
xinetd Version <*> started with <*> options compiled in.,xinetd Version <*> started with libwrap loadavg options compiled in.,xinetd Version <*> started with libwrap loadavg options compiled in.,8
md: Autodetecting RAID arrays.,md: Autodetecting RAID arrays.,md: Autodetecting RAID arrays.,8
loading configuration from <*>,loading configuration from '<*>',loading configuration from '<*>',8
agpgart: detected <*> dedicated video ram.,agpgart: detected <*> dedicated video ram.,agpgart: detected <*> dedicated video ram.,8
kernel time sync status <*>,kernel time sync <*>,kernel time sync <*>,8
apm: BIOS version <*> Flags <*> (Driver version <*>),apm: BIOS version <*> Flags <*> (Driver version <*>),apm: BIOS version <*> Flags <*> (Driver version <*>),8
audit(<*>): initialized,audit(<*>): initialized,audit(<*>): initialized,8
bind failed (Address already in use (errno = <*>)). service = <*>,bind failed (Address already in use (errno = <*>)). service = <*>,bind failed (Address already in use (errno = <*>)). service = <*>,8
cdrom: open failed.,cdrom: open failed.,cdrom: open failed.,8
checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,8
"configure: keyword <*> unknown, line ignored","configure: keyword ""authenticate"" unknown, line ignored","configure: keyword ""authenticate"" unknown, line ignored",8
Using tsc for high-res timesource,Using tsc for high-res timesource,Using tsc for high-res timesource,8
frequency initialized <*> PPM from <*>,frequency initialized <*> PPM from <*>,frequency initialized <*> PPM from <*>,8
"hda: <*> sectors (<*> MB) w/<*> Cache, CHS=<*>, UDMA(<*>)","hda: <*> sectors (<*>) <*> Cache, CHS=<*>, UDMA(<*>)","hda: <*> sectors (<*>) <*> Cache, CHS=<*>, UDMA(<*>)",8
hda: max request size: <*>,hda: max request size: 128KiB,hda: max request size: 128KiB,8
ide-floppy driver <*>,ide-floppy driver <*>,ide-floppy driver <*>,8
ide0 at <*> on irq <*>,ide0 at <*> on irq <*>,ide0 at <*> on irq <*>,8
"ide0: BM-DMA at <*> BIOS settings: hda:<*>, hdb:<*>","ide0: BM-DMA at <*> BIOS settings: hda:DMA, hdb:pio","ide0: BM-DMA at <*> BIOS settings: hda:DMA, hdb:pio",8
ide1 at <*> on irq <*>,ide1 at <*> on irq <*>,ide1 at <*> on irq <*>,8
"ide1: BM-DMA at <*> BIOS settings: hdc:<*>, hdd:<*>","ide1: BM-DMA at <*> BIOS settings: hdc:DMA, hdd:pio","ide1: BM-DMA at <*> BIOS settings: hdc:DMA, hdd:pio",8
ide: Assuming <*> system bus speed for PIO modes; override with idebus=<*>,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=<*>,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=<*>,8
input: <*> on <*>,input: <*> Logitech Wheel Mouse on <*>,input: <*> Logitech Wheel Mouse on <*>,8
input: <*> on <*>,input: AT Translated Set <*> keyboard on <*>,input: AT Translated Set <*> keyboard on <*>,8
inserting floppy driver for <*>,inserting floppy driver for <*>,inserting floppy driver for <*>,8
isapnp: No Plug & Play device found,isapnp: No Plug & Play device found,isapnp: No Plug & Play device found,8
isapnp: Scanning for PnP cards...,isapnp: Scanning for PnP cards...,isapnp: Scanning for PnP cards...,8
kernel time sync disabled <*>,kernel time sync <*>,kernel time sync <*>,8
kernel time sync enabled <*>,kernel time sync <*>,kernel time sync <*>,8
VFS: Disk quotas <*>,VFS: Disk quotas <*>,VFS: Disk quotas <*>,8
zapping low mappings.,zapping low mappings.,zapping low mappings.,8
Using <*> io scheduler,Using cfq io scheduler,Using cfq io scheduler,8
PCI: PCI BIOS revision <*> entry at <*> last bus=<*>,PCI: PCI BIOS revision <*> entry at <*> last bus=<*>,PCI: PCI BIOS revision <*> entry at <*> last bus=<*>,8
IPv6 over IPv4 tunneling driver,IPv6 over IPv4 tunneling driver,IPv6 over IPv4 tunneling driver,8
"IP: routing cache hash table of <*> buckets, <*>","IP: routing cache hash table of <*> buckets, 4Kbytes","IP: routing cache hash table of <*> buckets, 4Kbytes",8
ICH: chipset revision <*>,ICH: chipset revision <*>,ICH: chipset revision <*>,8
ICH: IDE controller at PCI slot <*>,ICH: IDE controller at PCI slot <*>:1f.<*>,ICH: IDE controller at PCI slot <*>:1f.<*>,8
Home page is <*>,Home page is <*>,Home page is <*>,8
"HighMem zone: <*> pages, LIFO batch:<*>","<*> zone: <*> pages, LIFO batch:<*>","<*> zone: <*> pages, LIFO batch:<*>",8
HCI daemon ver <*> started,HCI daemon ver <*> started,HCI daemon ver <*> started,8
Freeing unused kernel memory: <*> freed,Freeing unused kernel memory: <*> freed,Freeing unused kernel memory: <*> freed,8
Freeing initrd memory: <*> freed,Freeing initrd memory: <*> freed,Freeing initrd memory: <*> freed,8
Floppy drive(s): <*> is <*>,Floppy drive(s): fd0 is <*>,Floppy drive(s): fd0 is <*>,8
Failure registering capabilities with the kernel,Failure registering capabilities with the kernel,Failure registering capabilities with the kernel,8
FDC <*> is a National Semiconductor <*>,FDC <*> is a National Semiconductor PC87306,FDC <*> is a National Semiconductor PC87306,8
Enabling unmasked SIMD FPU exception support... done.,Enabling unmasked SIMD FPU exception support... done.,Enabling unmasked SIMD FPU exception support... done.,8
Enabling fast FPU save and restore... done.,Enabling fast FPU save and restore... done.,Enabling fast FPU save and restore... done.,8
EXT3 FS on <*> internal journal,"EXT3 FS on hda2, internal journal","EXT3 FS on hda2, internal journal",8
Initializing CPU#<*>,Initializing CPU#<*>,Initializing CPU#<*>,8
Initializing Cryptographic API,Initializing Cryptographic API,Initializing Cryptographic API,8
Initializing IPsec netlink socket,Initializing IPsec netlink socket,Initializing IPsec netlink socket,8
Mount-cache hash table entries: <*> (order: <*> bytes),Mount-cache hash table entries: <*> (order: <*> bytes),Mount-cache hash table entries: <*> (order: <*> bytes),8
Opened configuration file <*>,Opened configuration file <*>,Opened configuration file <*>,8
On node <*> totalpages: <*>,On node <*> totalpages: <*>,On node <*> totalpages: <*>,8
"Normal zone: <*> pages, LIFO batch:<*>","<*> zone: <*> pages, LIFO batch:<*>","<*> zone: <*> pages, LIFO batch:<*>",8
No such internal service: <*> - DISABLING,No such internal service: <*> - DISABLING,No such internal service: <*> - DISABLING,8
NET-SNMP version <*>,NET-SNMP version <*>,NET-SNMP version <*>,8
Mounting other filesystems: succeeded,Mounting other filesystems: succeeded,Mounting other filesystems: succeeded,8
Monitoring <*> ATA and <*> SCSI devices,Monitoring <*> ATA and <*> SCSI devices,Monitoring <*> ATA and <*> SCSI devices,8
Initializing random number generator: succeeded,Initializing random number generator: succeeded,Initializing random number generator: succeeded,8
"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)","Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)","Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)",8
Linux version <*> (<*>) (gcc version <*> (Red Hat Linux <*>)) <*>,Linux version <*> (bhcompile@<*>) (gcc version <*> (Red Hat Linux <*>)) <*> EDT <*>,Linux version <*> (bhcompile@<*>) (gcc version <*> (Red Hat Linux <*>)) <*> EDT <*>,8
Linux agpgart interface <*> (c) Dave Jones,Linux agpgart interface v0.<*> (c) Dave Jones,Linux agpgart interface v0.<*> (c) Dave Jones,8
Linux Plug and Play Support <*> (c) Adam Belay,Linux Plug and Play Support v0.<*> (c) Adam Belay,Linux Plug and Play Support v0.<*> (c) Adam Belay,8
Uniform Multi-Platform E-IDE driver Revision: <*>,Uniform Multi-Platform E-IDE driver Revision: <*>,Uniform Multi-Platform E-IDE driver Revision: <*>,8
Inode-cache hash table entries: <*> (order: <*> bytes),Inode-cache hash table entries: <*> (order: <*> bytes),Inode-cache hash table entries: <*> (order: <*> bytes),8
EXT3 FS on <*> internal journal,"EXT3 FS on hda1, internal journal","EXT3 FS on hda1, internal journal",8
Dquot-cache hash table entries: <*> (order <*> bytes),Dquot-cache hash table entries: <*> (order <*> bytes),Dquot-cache hash table entries: <*> (order <*> bytes),8
Disabled Privacy Extensions on device <*>(<*>),Disabled Privacy Extensions on device <*>(lo),Disabled Privacy Extensions on device <*>(lo),8
ANONYMOUS FTP LOGIN FROM <*> (<*>),ANONYMOUS FTP LOGIN FROM <*> (Sgpuser@home.com),ANONYMOUS FTP LOGIN FROM <*> (Sgpuser@home.com),8
Bluetooth: RFCOMM TTY layer initialized,Bluetooth: RFCOMM <*> layer initialized,Bluetooth: RFCOMM <*> layer initialized,8
Bluetooth: HCI socket layer initialized,Bluetooth: HCI <*> layer initialized,Bluetooth: HCI <*> layer initialized,8
Bluetooth: HCI device and connection manager initialized,Bluetooth: HCI device and connection manager initialized,Bluetooth: HCI device and connection manager initialized,8
BIOS-provided physical RAM map:,BIOS-provided physical RAM map:,BIOS-provided physical RAM map:,8
Authentication failed from <*> (<*>): Permission denied in replay cache code,Authentication failed from <*> (<*>): Permission denied in replay cache code,Authentication failed from <*> (<*>): Permission denied in replay cache code,8
Adding <*> swap on <*> Priority:<*> extents:<*>,Adding <*> swap on <*> Priority:-<*> extents:<*>,Adding <*> swap on <*> Priority:-<*> extents:<*>,8
ACPI: Subsystem revision <*>,ACPI: Subsystem revision <*>,ACPI: Subsystem revision <*>,8
Built <*> zonelists,Built <*> zonelists,Built <*> zonelists,8
ACPI: Interpreter disabled.,ACPI: Interpreter disabled.,ACPI: Interpreter disabled.,8
ACPI: ACPI tables contain no PCI IRQ routing entries,ACPI: ACPI tables contain no PCI IRQ routing entries,ACPI: ACPI tables contain no PCI IRQ routing entries,8
ACPI disabled because your bios is from <*> and too old,ACPI disabled because your bios is from <*> and too old,ACPI disabled because your bios is from <*> and too old,8
<*> Privoxy(<*>) Info: loading configuration file <*>,<*> Privoxy(-<*>) Info: loading configuration file '<*>':,<*> Privoxy(-<*>) Info: loading configuration file '<*>':,8
<*> LOWMEM available.,<*> LOWMEM available.,<*> LOWMEM available.,8
*** info [startup.c(<*>)]:,*** info [startup.c(<*>)]:,*** info [startup.c(<*>)]:,8
Bluetooth: RFCOMM socket layer initialized,Bluetooth: RFCOMM <*> layer initialized,Bluetooth: RFCOMM <*> layer initialized,8
"CPU <*> irqstacks, hard=<*> soft=<*>","CPU <*> irqstacks, hard=<*> soft=<*>","CPU <*> irqstacks, hard=<*> soft=<*>",8
Device: <*> opened,Device: <*> opened,Device: <*> opened,8
Console: colour <*>,Console: colour VGA+ 80x25,Console: colour VGA+ 80x25,8
"Device: <*> is SMART capable. Adding to ""monitor"" list.","Device: <*> is SMART capable. Adding to ""monitor"" list.","Device: <*> is SMART capable. Adding to ""monitor"" list.",8
Device: <*> found in smartd database.,Device: <*> found in smartd database.,Device: <*> found in smartd database.,8
Detected <*> MHz processor.,Detected <*> MHz processor.,Detected <*> MHz processor.,8
Dentry cache hash table entries: <*> (order: <*> bytes),Dentry cache hash table entries: <*> (order: <*> bytes),Dentry cache hash table entries: <*> (order: <*> bytes),8
DMI <*> present.,DMI <*> present.,DMI <*> present.,8
"DMA zone: <*> pages, LIFO batch:<*>","<*> zone: <*> pages, LIFO batch:<*>","<*> zone: <*> pages, LIFO batch:<*>",8
Configuration file <*> parsed.,Configuration file <*> parsed.,Configuration file <*> parsed.,8
CPU: Intel Pentium III (Coppermine) stepping <*>,CPU: Intel Pentium III (Coppermine) stepping <*>,CPU: Intel Pentium III (Coppermine) stepping <*>,8
Checking <*> instruction... OK.,Checking 'hlt' instruction... OK.,Checking 'hlt' instruction... OK.,8
Charge: * * * (<*> unknown),Charge: * * * (-<*>% unknown),Charge: * * * (-<*>% unknown),8
Capability LSM initialized,Capability LSM initialized,Capability LSM initialized,8
Calibrating delay loop... <*> BogoMIPS,Calibrating delay loop... <*> BogoMIPS,Calibrating delay loop... <*> BogoMIPS,8
CPU: L2 cache: <*>,CPU: L2 cache: <*>,CPU: L2 cache: <*>,8
CPU: L1 I cache: <*> L1 D cache: <*>,CPU: L1 I cache: <*> L1 D cache: <*>,CPU: L1 I cache: <*> L1 D cache: <*>,8
PCI: Invalid ACPI-PCI IRQ routing table,PCI: Invalid ACPI-PCI IRQ routing table,PCI: Invalid ACPI-PCI IRQ routing table,8
Intel machine check architecture supported.,Intel machine check architecture supported.,Intel machine check architecture supported.,8
Squid Parent: child process <*> started,Squid Parent: child process <*> started,Squid Parent: child process <*> started,8
RAMDISK: Compressed image found at block <*>,RAMDISK: Compressed image found at block <*>,RAMDISK: Compressed image found at block <*>,8
"There is already a security framework initialized, register_security failed.","There is already a security framework initialized, register_security failed.","There is already a security framework initialized, register_security failed.",8
SCSI subsystem initialized,SCSI subsystem initialized,SCSI subsystem initialized,8
TCP: Hash tables configured (established <*> bind <*>),TCP: Hash tables configured (established <*> bind <*>),TCP: Hash tables configured (established <*> bind <*>),8
Starting background readahead:,Starting background readahead:,Starting background readahead:,8
SELinux: Registering netfilter hooks,0,0,8
SELinux: Starting in permissive mode,SELinux: Starting in permissive mode,SELinux: Starting in permissive mode,8
