ground_truth,PIPLUP_no_merge,PIPLUP,count
FOLLOWING - LEADER ELECTION TOOK - <*>,FOLLOWING - LEADER ELECTION TOOK - <*>,FOLLOWING - LEADER ELECTION TOOK - <*>,34
Follower sid: <*> : info : <*>,Follower sid: <*> : info : <*>,Follower sid: <*> : info : <*>,34
Getting a diff from the leader <*>,Getting a diff from the leader <*>,Getting a diff from the leader <*>,28
Sending DIFF,Sending DIFF,Sending DIFF,28
Got zxid <*> expected <*>,Got zxid <*> expected <*>,Got zxid <*> expected <*>,28
Unexpected Exception:,Unexpected Exception:,Unexpected Exception:,27
Creating new log file: <*>,Creating new log file: log.<*>,Creating new log file: log.<*>,25
"Have smaller server identifier, so dropping the connection: (<*>, <*>)","Have smaller server identifier, so dropping the connection: (<*>, <*>)","Have smaller server identifier, so dropping the connection: (<*>, <*>)",20
Got user-level KeeperException when processing sessionid:<*> type:<*> cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = <*> for <*>,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:-<*> reqpath:<*> Error <*> Error:KeeperErrorCode = <*> for <*>,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:-<*> reqpath:<*> Error <*> Error:KeeperErrorCode = <*> for <*>,19
Have quorum of supporters; starting up and setting last processed zxid: <*>,Have quorum of supporters; starting up and setting last processed zxid: <*>,Have quorum of supporters; starting up and setting last processed zxid: <*>,15
LEADING - LEADER ELECTION TOOK - <*>,LEADING - LEADER ELECTION TOOK - <*>,LEADING - LEADER ELECTION TOOK - <*>,15
LEADING,LEADING,LEADING,15
First is <*>,First is <*>,First is <*>,15
Commiting zxid <*> from <*> not first!,Commiting zxid <*> from <*> not first!,Commiting zxid <*> from <*> not first!,15
CommitProcessor exited loop!,<*> exited loop!,<*> exited loop!,13
SyncRequestProcessor exited!,SyncRequestProcessor exited!,SyncRequestProcessor exited!,13
shutdown of request processor complete,shutdown of request processor complete,shutdown of request processor complete,13
shutting down,shutting down,shutting down,13
shutdown called,shutdown called,shutdown called,11
Exception when following the leader,Exception when following the leader,Exception when following the leader,11
FollowerRequestProcessor exited loop!,<*> exited loop!,<*> exited loop!,11
"Unexpected exception, tries=<*>, connecting to <*>","Unexpected exception, tries=<*>, connecting to <*>","Unexpected exception, tries=<*>, connecting to <*>",8
Exception causing close of session <*> due to java.io.IOException: Connection reset by peer,Exception causing close of session <*> due to <*>: Connection reset by peer,Exception causing close of session <*> due to <*>: Connection reset by peer,8
Sending snapshot last zxid of peer is <*> zxid of leader is <*> zxid of db as <*>,Sending snapshot last zxid of peer is <*> zxid of leader is <*> zxid of db as <*>,Sending snapshot last zxid of peer is <*> zxid of leader is <*> zxid of db as <*>,6
Getting a snapshot from leader,Getting a snapshot from leader,Getting a snapshot from leader,6
Sending SNAP,Sending SNAP,Sending SNAP,6
Exception when using channel: for id <*> my id = <*> error = java.net.SocketException: Broken pipe,Exception when using channel: for id <*> my id = <*> error = <*>: Broken pipe,Exception when using channel: for id <*> my id = <*> error = <*>: Broken pipe,4
currentEpoch not found! Creating with a reasonable default of <*> This should only happen when you are upgrading your installation,currentEpoch not found! Creating with a reasonable default of <*> This should only happen when you are upgrading your installation,currentEpoch not found! Creating with a reasonable default of <*> This should only happen when you are upgrading your installation,3
acceptedEpoch not found! Creating with a reasonable default of <*> This should only happen when you are upgrading your installation,acceptedEpoch not found! Creating with a reasonable default of <*> This should only happen when you are upgrading your installation,acceptedEpoch not found! Creating with a reasonable default of <*> This should only happen when you are upgrading your installation,3
exception while shutting down acceptor: java.net.SocketException: Socket closed,exception while shutting down acceptor: <*>: Socket closed,exception while shutting down acceptor: <*>: Socket closed,2
Shutdown called,Shutdown called,Shutdown called,2
SessionTrackerImpl exited loop!,<*> exited loop!,<*> exited loop!,2
PrepRequestProcessor exited loop!,<*> exited loop!,<*> exited loop!,2
