ground_truth,PIPLUP_no_merge,PIPLUP,count
[instance: <*>] Claim successful,[instance: <*>] Claim successful,[instance: <*>] Claim successful,2065
Creating event <*> for instance <*>,Creating event network-vif-plugged:<*> for instance <*>,Creating event network-vif-plugged:<*> for instance <*>,2065
"<*> ""DELETE <*> <*>"" status: <*> len: <*> time: <*>","<*> ""DELETE <*>"" status: <*> len: <*> time: <*>","<*> ""DELETE <*>"" status: <*> len: <*> time: <*>",2064
Removing base or swap file: <*>,Removing base or swap file: <*>,Removing base or swap file: <*>,2064
[instance: <*>] Deleting instance files <*>,[instance: <*>] Deleting instance files <*>,[instance: <*>] Deleting instance files <*>,2064
[instance: <*>] Deletion of <*> complete,[instance: <*>] Deletion of <*> complete,[instance: <*>] Deletion of <*> complete,2064
[instance: <*>] Instance destroyed successfully.,[instance: <*>] Instance destroyed successfully.,[instance: <*>] Instance destroyed successfully.,2064
[instance: <*>] Terminating instance,[instance: <*>] Terminating instance,[instance: <*>] Terminating instance,2064
HTTP exception thrown: No instances found for any event,HTTP exception thrown: No instances found for any event,HTTP exception thrown: No instances found for any event,2064
[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,2064
Auditing locally available compute resources for node <*>,Auditing locally available compute resources for node <*>,Auditing locally available compute resources for node <*>,1739
Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],1739
Compute_service record updated for <*>,Compute_service record updated for <*>,Compute_service record updated for <*>,1739
Total usable vcpus: <*> total allocated vcpus: <*>,Total usable vcpus: <*> total allocated vcpus: <*>,Total usable vcpus: <*> total allocated vcpus: <*>,1739
Base or swap file too young to remove: <*>,Base or swap file too young to remove: <*>,Base or swap file too young to remove: <*>,995
Successfully synced instances from host '<*>'.,Successfully synced instances from host '<*>'.,Successfully synced instances from host '<*>'.,502
The instance sync for host <*> did not match. Re-created its InstanceList.,The instance sync for host <*> did not match. Re-created its InstanceList.,The instance sync for host <*> did not match. Re-created its InstanceList.,364
"<*> ""GET <*> <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>&changes-since=<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>",177
"<*> ""GET <*> <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>&changes-since=<*>&host=<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>",176
"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.","While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.","While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",45
Running instance usage audit for host <*> from <*> to <*> instances.,Running instance usage audit for host <*> from <*> to <*> instances.,Running instance usage audit for host <*> from <*> to <*> instances.,30
couldn't obtain the vcpu count from domain id: <*> exception: Requested operation is not valid: cpu affinity is not supported,couldn't obtain the vcpu count from domain id: <*> exception: Requested operation is not valid: cpu affinity is not supported,couldn't obtain the vcpu count from domain id: <*> exception: Requested operation is not valid: cpu affinity is not supported,12
Error during <*>,Error during ComputeManager._run_image_cache_manager_pass,Error during ComputeManager._run_image_cache_manager_pass,8
Bad response code while validating token: <*>,Bad response code while validating token: <*>,Bad response code while validating token: <*>,2
Unable to validate token: Failed to fetch token data from identity server,Unable to validate token: Failed to fetch token data from identity server,Unable to validate token: Failed to fetch token data from identity server,2
Identity response: <*>,"Identity response: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML <*>"">","Identity response: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML <*>"">",2
