ground_truth,PIPLUP_no_merge,PIPLUP,count
clusterAddMember (command <*>) Error: cluster_add_member failed unexpectedly\ check <*>: <ABORT code errored: kill: <*>: no such process>,clusterAddMember (command <*>) Error: cluster_add_member failed unexpectedly\ check /cluster/admin/cluster_add_member.log: <ABORT code errored: kill: <*>: no such process>,clusterAddMember (command <*>) Error: cluster_add_member failed unexpectedly\ check /cluster/admin/cluster_add_member.log: <ABORT code errored: kill: <*>: no such process>,1
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D2 and nodes:node-[<*>],Targeting <*> and nodes:node-[<*>],1
Targeting domains:<*> and nodes:<*>,Targeting domains:node-D4 and nodes:node-[<*>],Targeting <*> and nodes:node-[<*>],1
member_delete (command <*>) Error: node is up according to cluster_get_info,member_delete (command <*>) Error: node is up according to cluster_get_info,member_delete (command <*>) Error: node is up according to cluster_get_info,1
member_delete (command <*>) Error: <*> is NOT a member of cluster <*>,member_delete (command <*>) Error: <*> is NOT a member of cluster node-D6,member_delete (command <*>) Error: <*> is NOT a member of cluster node-D6,1
member_delete (command <*>) Error: <*> is NOT a member of cluster <*>,member_delete (command <*>) Error: <*> is NOT a member of cluster node-D3,member_delete (command <*>) Error: <*> is NOT a member of cluster node-D3,1
boot (command <*>) Error: CMF-Port This node\047s port is not connected,boot (command <*>) Error: CMF-Port This node\047s port is not connected,boot (command <*>) Error: CMF-Port This node\047s port is not connected,1
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,1
bootGenvmunix (command <*>) Error: node returned to srm while booting: <ABORT code completed>,bootGenvmunix (command <*>) Error: node returned to srm while booting: <ABORT code completed>,bootGenvmunix (command <*>) Error: node returned to srm while booting: <ABORT code completed>,1
inconsistent nodesets <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,inconsistent nodesets <*> <ok> <*> <ok>,1
